#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:57:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:13:33---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 04:26:12---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:14:23---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0010   1   147.1940   242.7219
#--- new collection started at 13:36:20---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0013   1   126.7901   222.4267
#--- new collection started at 13:38:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0018   2   104.1266   195.2654
O1   1.30   0.0018   1   142.8582   224.1775
#--- new collection started at 19:16:36---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0020   1   145.7635   221.9500
O1   1.30   0.0020   2   106.8179   192.9000
#--- new collection started at 13:40:40---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0025   1   149.1324   219.0574
O1   1.30   0.0025   2   110.7138   191.0926
#--- new collection started at 19:21:54---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0030   1   134.7338   204.1648
O1   1.30   0.0030   2   91.9351   171.0600
#--- new collection started at 13:42:54---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0036   1   146.2003   217.2359
O1   1.30   0.0036   2   106.1465   176.9321
O1   1.30   0.0036   3   62.8934   140.4878
#--- new collection started at 19:30:44---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0040   1   153.9803   227.2246
O1   1.30   0.0040   2   118.9251   188.2892
O1   1.30   0.0040   3   69.6579   141.4331
#--- new collection started at 19:34:42---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0050   1   159.7940   235.0091
O1   1.30   0.0050   2   127.6812   198.6401
#--- new collection started at 19:40:51---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:44:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 19:49:52---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0080   1   173.9976   247.7311
O1   1.30   0.0080   2   143.7774   212.5412
O1   1.30   0.0080   3   108.0527   174.2429
O1   1.30   0.0080   4   52.7654   113.5845
O1   1.30   0.0080   5   11.3624   38.7752
#--- new collection started at 20:05:52---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:30:08---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:01:37---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0125   1   174.1450   240.7040
O1   1.30   0.0125   2   153.5200   213.8549
