FM   1.20   0.0040   7   38.4127   122.7076
FM   1.20   0.0040   8   37.0852   117.5135
FM   1.20   0.0040   1   25.8544   87.7661
FM   1.20   0.0040   10   105.8698   258.3309
FM   1.20   0.0040   13   25.8544   87.7661
FM   1.20   0.0040   16   37.0852   117.5135
FM   1.20   0.0040   18   105.8698   258.3309
FM   1.20   0.0040   19   38.4127   122.7076
FM   1.20   0.0040   20   37.0852   117.5135
FM   1.20   0.0040   21   25.8544   87.7661
FM   1.20   0.0040   22   105.8698   258.3309
FM   1.20   0.0040   24   37.0852   117.5135
#--- new collection started at 19:34:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0050   21   40.8579   128.0947
FM   1.20   0.0050   18   26.4166   88.5453
FM   1.20   0.0050   1   40.8579   128.0947
FM   1.20   0.0050   2   26.4166   88.5453
FM   1.20   0.0050   5   40.8579   128.0947
FM   1.20   0.0050   6   26.4166   88.5453
FM   1.20   0.0050   9   40.8579   128.0947
FM   1.20   0.0050   10   26.4166   88.5453
FM   1.20   0.0050   13   40.8579   128.0947
FM   1.20   0.0050   14   26.4166   88.5453
FM   1.20   0.0050   17   40.8579   128.0947
FM   1.20   0.0050   22   26.4166   88.5453
#--- new collection started at 19:40:21---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0060   17   27.0882   90.3096
FM   1.20   0.0060   21   27.0882   90.3096
FM   1.20   0.0060   13   27.0882   90.3096
FM   1.20   0.0060   1   27.0882   90.3096
FM   1.20   0.0060   5   27.0882   90.3096
FM   1.20   0.0060   9   27.0882   90.3096
#--- new collection started at 19:43:50---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0070   1   92.6951   233.6721
FM   1.20   0.0070   4   92.6951   233.6721
FM   1.20   0.0070   7   92.6951   233.6721
FM   1.20   0.0070   10   92.6951   233.6721
FM   1.20   0.0070   13   92.6951   233.6721
#--- new collection started at 19:49:21---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0080   1   43.5868   130.8694
FM   1.20   0.0080   4   43.5868   130.8694
FM   1.20   0.0080   22   43.5868   130.8694
FM   1.20   0.0080   16   43.5868   130.8694
FM   1.20   0.0080   7   43.5868   130.8694
FM   1.20   0.0080   10   43.5868   130.8694
FM   1.20   0.0080   13   43.5868   130.8694
FM   1.20   0.0080   19   43.5868   130.8694
#--- new collection started at 20:05:48---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 20:29:58---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0100   1   90.1570   227.3973
FM   1.20   0.0100   5   90.1570   227.3973
FM   1.20   0.0100   9   90.1570   227.3973
FM   1.20   0.0100   13   90.1570   227.3973
FM   1.20   0.0100   17   90.1570   227.3973
FM   1.20   0.0100   21   90.1570   227.3973
FM   1.20   0.0100   25   90.1570   227.3973
FM   1.20   0.0100   29   90.1570   227.3973
#--- new collection started at 22:01:16---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0125   1   9.3225   34.8755
FM   1.20   0.0125   4   9.3225   34.8755
FM   1.20   0.0125   7   9.3225   34.8755
FM   1.20   0.0125   10   9.3225   34.8755
#--- new collection started at 22:05:45---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0135   1   8.8380   33.1393
FM   1.20   0.0135   4   8.8380   33.1393
FM   1.20   0.0135   7   8.8380   33.1393
FM   1.20   0.0135   10   8.8380   33.1393
#--- new collection started at 21:01:43---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 22:38:04---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0200   3   16.1505   57.2806
FM   1.20   0.0200   30   16.1505   57.2806
FM   1.20   0.0200   27   16.1505   57.2806
FM   1.20   0.0200   6   16.1505   57.2806
FM   1.20   0.0200   9   16.1505   57.2806
FM   1.20   0.0200   12   16.1505   57.2806
FM   1.20   0.0200   15   16.1505   57.2806
FM   1.20   0.0200   18   16.1505   57.2806
FM   1.20   0.0200   21   16.1505   57.2806
FM   1.20   0.0200   24   16.1505   57.2806
FM   1.20   0.0200   33   16.1505   57.2806
#--- new collection started at 22:09:51---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0216   5   8.8016   32.9202
FM   1.20   0.0216   6   100.8270   211.4011
FM   1.20   0.0216   8   8.8016   32.9202
FM   1.20   0.0216   9   100.8270   211.4011
FM   1.20   0.0216   2   8.8016   32.9202
FM   1.20   0.0216   3   100.8270   211.4011
#--- new collection started at 22:13:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.20   0.0247   9   9.0835   33.7262
FM   1.20   0.0247   6   9.0835   33.7262
FM   1.20   0.0247   7   54.1608   142.3183
FM   1.20   0.0247   4   54.1608   142.3183
FM   1.20   0.0247   1   54.1608   142.3183
FM   1.20   0.0247   3   9.0835   33.7262
#--- new collection started at 22:55:09---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 10:55:53---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 23:20:22---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 12:03:58---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 13:29:01---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 01:12:55---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 01:52:35---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:25:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 02:49:38---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:09:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:39:02---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 03:57:47---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
