#mass   Z   median_TP_age (Myr)
4.10  0.0400  196.5368
4.10  0.0500  206.4240
4.10  0.0600  215.9025
4.10  0.1100  187.4150
4.10  0.1300  158.4245
4.10  0.1400  145.3811
4.10  0.1500  133.0689
4.10  0.0013  109.2720
4.10  0.0018  111.9654
4.10  0.0025  115.1365
4.10  0.0036  119.8284
4.10  0.0030  117.2063
4.20  0.0300  169.5922
4.20  0.0095  0.0000
4.20  0.0020  106.9437
4.20  0.0040  115.1598
4.20  0.0050  117.2503
4.20  0.0060  119.7696
4.20  0.0100  130.0982
4.20  0.0125  135.0948
4.20  0.0200  152.0886
4.20  0.0216  154.5671
4.20  0.0247  160.0738
4.20  0.0500  192.0616
4.20  0.0600  200.8267
4.20  0.0700  204.7976
4.20  0.0800  207.1902
4.20  0.0900  197.7175
4.20  0.1000  188.8102
4.20  0.1100  174.5151
4.20  0.1500  124.3052
4.20  0.0036  113.0745
4.20  0.0344  0.0000
4.20  0.0018  106.0553
4.20  0.0025  108.8899
4.30  0.0200  142.6206
4.30  0.0050  110.9269
4.30  0.0060  113.2305
4.30  0.0070  115.5417
4.30  0.0080  117.8274
4.30  0.0010  96.7515
4.30  0.0030  104.9900
4.30  0.0025  103.1976
4.30  0.0125  127.3474
4.30  0.0140  130.1686
4.30  0.0216  145.0005
4.30  0.0247  150.2442
4.30  0.0300  158.9002
4.30  0.0400  171.3448
4.30  0.0500  179.6432
4.30  0.0600  187.1325
4.30  0.0700  190.8840
4.30  0.1000  176.1873
4.30  0.1100  162.7275
4.30  0.1200  149.9039
4.30  0.1300  137.9040
4.30  0.0018  100.5056
4.40  0.0013  93.2843
4.40  0.0018  0.0000
4.40  0.0020  96.2363
4.40  0.0025  97.9137
4.40  0.0030  99.5906
4.40  0.0040  102.7511
4.40  0.0060  107.2749
4.40  0.0070  109.3474
4.40  0.0125  120.1291
4.40  0.0200  98.2537
4.40  0.0300  149.0064
4.40  0.0344  154.1377
4.40  0.0400  160.3239
4.40  0.0600  175.1151
4.40  0.0800  180.3246
4.40  0.0900  172.1146
4.40  0.1100  152.1137
4.40  0.1200  140.2418
4.40  0.1300  129.1910
4.40  0.0700  147.4823
4.50  0.0216  129.8698
4.50  0.0013  88.7636
4.50  0.0135  115.1805
4.50  0.0018  90.7688
4.50  0.0140  116.0780
4.50  0.0095  108.7199
4.50  0.0025  93.1329
4.50  0.0100  109.7793
4.50  0.0040  97.6028
4.50  0.0050  100.1511
4.50  0.0070  103.6990
4.50  0.0080  105.6666
4.50  0.0200  126.6067
4.50  0.0247  132.5971
4.50  0.0300  140.1506
4.50  0.0344  0.0000
4.50  0.0500  157.4614
4.50  0.0700  166.9977
4.50  0.0900  161.0692
4.50  0.1000  154.1847
4.50  0.1100  142.5184
4.50  0.1200  131.4108
4.50  0.1300  121.0324
4.50  0.0125  113.6143
4.60  0.0013  84.6157
4.60  0.0010  83.4657
4.60  0.0030  89.9774
4.60  0.0040  92.7311
4.60  0.0050  94.8409
4.60  0.0070  98.4442
4.60  0.0080  100.2753
4.60  0.0125  107.6074
4.60  0.0140  109.8486
4.60  0.0344  136.2162
4.60  0.0400  141.5448
4.60  0.0900  151.0960
4.60  0.1100  133.7297
4.60  0.1200  123.4706
4.60  0.1500  96.2315
4.70  0.0013  80.7541
4.70  0.0010  79.6703
4.70  0.0025  84.4387
4.70  0.0060  91.9363
4.70  0.0070  93.6426
4.70  0.0216  114.6146
4.70  0.0247  118.2128
4.70  0.0300  124.3310
4.70  0.0344  128.4178
4.70  0.0800  148.7325
4.70  0.0900  142.1198
4.70  0.1000  136.0084
4.70  0.1100  125.8238
4.70  0.1200  116.2443
4.70  0.1300  107.1129
4.70  0.1400  98.7003
4.70  0.1500  90.7851
4.80  0.0010  76.1306
4.80  0.0018  78.7067
4.80  0.0050  85.8705
4.80  0.0060  0.0000
4.80  0.0080  90.7169
4.80  0.0095  93.1268
4.80  0.0100  93.9697
4.80  0.0200  106.9195
4.80  0.0247  111.9418
4.80  0.0344  121.2859
4.80  0.0400  125.7427
4.80  0.0500  131.1921
4.80  0.0600  136.1042
4.80  0.0700  138.4730
4.80  0.0800  139.9191
4.80  0.1100  118.5097
4.80  0.1200  109.5277
4.80  0.1400  93.1064
4.80  0.0135  98.2537
4.90  0.0040  80.6093
4.90  0.0010  72.8614
4.90  0.0013  73.7942
4.90  0.0018  75.2592
4.90  0.0020  75.8570
4.90  0.0025  77.0134
4.90  0.0050  82.2178
4.90  0.0080  86.4576
4.90  0.0095  88.7177
4.90  0.0135  93.4432
4.90  0.0140  94.0174
4.90  0.0216  103.0911
4.90  0.0247  106.1167
4.90  0.0300  111.2740
4.90  0.0344  114.6540
